OTU,Domain,Phylum,Class,Order,Family,Genus,Species
740e77d35b41d2815ff17a45da5c6c5c,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
29185ced057d2d6c717687cf05ae56cc,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,uncultured_bacterium
969a4a76e6d28a2a65eea0f18e239575,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
c0dab8c765df332a5f7130cd149eea29,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,
17e32347cc9350f8256265b84c944d41,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
8db6d14e50dead25395f85cdf4d74d00,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
d82e208bba160c1e4e7ef3105aab9e96,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium
f5f906a6c6d1767a0b183064a7863338,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,
b099d6ff3c32dd2d7f1e596c16e6d67f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
19c0a9c2b4815f073536475f02b90230,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,
c789b81136965acbae8c71e996adb24e,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured,
480591c18412288ff95eedbee0df355c,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
19f81b2fced21a5bf8395c89aed435bc,Unassigned,,,,,,
d68c1cd318419c58d32d38e68c3d27da,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
28fc5b4c98e618c2d8b58303c777ae23,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,
c161f0739c8cdf0e5a0cb66249fbea8c,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,uncultured_bacterium
c3b62f9fe3ee8da65eacbab75a5bbd4a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_12,
5fbd7ef2c2c1424a2d1d7329510792bc,Unassigned,,,,,,
85c44c83eddc5d3028261a1000b7d0e1,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,
2ddb215ff668b6a24a9ccf2bb076a453,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus
